"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
360000,100,3,1,2,1,0,1,20.732,28.76857749,62.19081272,9.34,1.1352633445856,0.698696160157468,0.264058604425616,2.16871111182406,0.0788599381353495,0.0138885289499134
185000,62,2,1,1,1,0,0,18.113,12.39340534,56.55172414,6.25,1.65018013511571,1.33106388438672,0.783217777828906,1.80912715346601,0.129205638516707,0.975992553838583
450000,169,5,1,2,1,1,0,22.269,36.52509653,71.41623489,3.78,0.505502221169081,0.329106330450682,0.245699379937316,2.48870660526999,0.53899743488844,0.800665437218296
175000,111,3,1,1,0,1,1,10.258,25.76950608,23.66220736,15.75,1.03773714816152,0.57424355473574,0.84772371606843,1.20307884796612,0.0647223593703228,0.478680844158624
175000,117,4,0,2,0,1,1,9.229,23.16205534,22.82900627,16.52,0.974279452246444,0.505853202630468,0.987219387820023,1.29056699703606,0.128408833154241,0.620867906206272
175000,65,2,1,1,1,1,0,18.704,21.38320395,61.73428799,10.52,1.49556485767951,1.17404113665544,0.231458611128731,1.74887181611309,0.203091152151817,0.219585194235585
399000,153,4,1,2,0,0,0,20.006,35.40169824,62.88888889,3.07,0.94841487214612,0.283085422283562,0.451374116686436,2.90183789174554,0.725034194474366,0.761298673665364
360000,166,6,1,3,0,1,1,18.474,29.37771346,60.96169519,9.7,0.95221165839583,0.174579667286389,0.298134067709598,2.96647978972008,0.553134161902508,0.522425590265072
549000,137,3,1,2,1,1,1,16.718,19.9843872,48.01687764,21.08,0.982726320189415,1.00181026236182,0.115960731790519,2.25023564614487,0.362081584241604,0.210808104332638
258000,94,3,1,2,0,0,1,20.59,30.03412969,62.79491833,1.88,1.17940248463638,0.503592485245073,0.298177761771522,0.777366274595814,0.137369579739186,1.11352541815116
375000,125,4,1,2,0,0,0,19.196,29.29493545,59.8183882,9.63,0.955769600538057,0.445846818374357,0.41054392719676,2.57880139503939,0.259297327053822,0.263260034085963
245000,106,4,1,2,1,0,1,14.007,28.75125881,36.85419059,7.25,1.10820715677127,0.376977157438273,0.952337957559812,0.838341162213922,0.227937195383809,0.487780957949112
495000,160,4,0,3,1,1,1,20.37,28.44500632,57.84447476,10.75,1.19749336584306,0.839179104196925,0.100170073212959,2.20610766581915,0.109106895928068,0.112813099783841
395000,144,3,0,2,1,0,0,21.257,24.48340639,61.97183099,16.34,0.802793578968595,1.01555770367304,0.21598875549201,2.40056278885347,0.191462633298752,0.0434135364094234
270000,105,3,1,1,1,1,1,19.003,28.73453853,62.57861635,5.52,0.796095929081054,0.387042726430842,0.530483068155665,2.59681613157474,0.415856223368436,0.393935866360312
133000,79,3,1,1,0,1,0,8.986,21.20866591,22.50165453,26.57,1.39097304075371,1.01907585840108,0.438086498161981,1.44514801031848,0.22422070687448,1.19242333431145
575000,193,4,1,2,0,0,0,19.196,29.29493545,59.8183882,9.63,1.04867678772394,0.640536701845907,0.195510421940804,2.43219918292675,0.0468515672902161,0.0406555888110024
230000,97,3,1,1,1,0,0,13.02,30.6851312,41.30612245,3.72,1.56494534089941,0.376807579230188,1.52628576039512,1.2110625709477,0.329031570622956,0.815303490524806
380000,152,2,0,2,0,1,0,17.96,21.41719745,61.17542297,17.04,0.415458730063688,0.792417885292755,0.124341819726523,2.68721410815781,0.219373052274785,0.365438232567777
229000,99,4,1,1,1,1,0,13.452,31.90348525,37.07524272,5.58,0.687210027026203,0.468535565208968,0.5091582339613,1.46270077973544,0.538349409724098,0.0966786680982732
250000,100,2,1,2,0,0,0,20.37,28.44500632,57.84447476,10.75,1.2135278825243,0.795420697989839,0.142680655224152,2.20328326774307,0.0953518004294154,0.0781277193920466
570000,210,5,1,3,0,1,1,18.979,28.39879154,58.84808013,10.42,1.05544285482943,0.630918233265528,0.29179761535293,2.25031354866992,0.132030035325161,0.0704715034002297
450000,169,5,1,2,1,1,1,22.269,36.52509653,71.41623489,3.78,0.379645785110553,0.435389847191305,0.252283066678197,2.49311780626422,0.490646961019333,0.705777226033615
395000,144,3,0,2,1,0,0,21.257,24.48340639,61.97183099,16.34,0.783593030151668,1.02781042443142,0.233751181574079,2.41553494596087,0.176227872109211,0.0234678326460044
159900,89,3,1,1,0,1,0,9.229,23.16205534,22.82900627,16.52,0.858166068358499,0.516479308903109,1.08539504083533,1.4080523691193,0.126303728298748,0.728304856296391
124000,110,4,0,2,0,0,0,7.986,20.22873481,17.44386874,18.73,1.18723148198553,1.1708050203665,0.307515657249043,1.22245712704455,0.223931813854687,0.55807880680907
217000,58,2,1,1,1,0,0,13.303,26.33410673,44.23076923,11.02,1.01202461760558,0.381777333172618,0.887146627333056,1.81514824706657,0.0769063870665074,0.387379573159685
217000,58,2,1,1,1,0,0,13.303,26.33410673,44.23076923,11.02,1.21892338622055,0.466358097026639,0.889142441661977,1.78038943866874,0.11448301159751,0.438117811874216
230000,105,3,1,2,0,1,1,17.692,18.82546652,58.65921788,2.69,1.59950896902543,0.505192946899178,1.7321083444817,1.00028448338822,0.307246994883259,0.954482555119053
450000,111,3,1,2,0,1,1,13.22,17.4939952,47.80802953,12.21,1.29066404994616,1.80286121614532,0.95821770472639,2.33063131498647,0.600172233804279,0.218970880585322
238000,117,3,1,2,0,0,1,13.02,30.6851312,41.30612245,3.72,1.56379095262234,0.355582973895255,1.55555986950301,1.17915847922645,0.349656735328877,0.849582260450517
159000,70,2,1,1,0,0,1,13.558,14.65157832,41.67289022,5.24,1.44171570875992,3.29779841155944,3.25706723155918,0.0494148360351317,1.94397295735775,0.255655109726694
350000,135,3,1,1,0,0,0,18.979,28.39879154,58.84808013,10.42,0.978109411329684,0.577121319366125,0.335404575573616,2.35016555225589,0.185462133485396,0.158414792152808
250000,100,2,1,2,0,0,0,19.196,29.29493545,59.8183882,9.63,1.15598109861745,0.741447338081762,0.152485867057472,2.30042138575224,0.00313173912213382,0.0147058920833547
420000,184,6,1,2,0,0,0,23.709,27.27727728,72.66272189,4.85,0.346104537604023,0.344842911904158,0.430502361173042,1.72888307218117,0.122390154408336,0.687461541997481
394900,134,4,1,2,1,1,0,21.703,31.03932584,63.69426752,4.78,0.786654119902166,0.344643568296481,0.26032696070237,2.842378526246,0.669131216041665,0.61403647191117
269500,114,4,1,2,0,1,0,19.721,18.53448276,62.71721959,11.78,1.27397904244363,1.32232830394019,0.0811282763246311,1.91975203953267,0.417225313876066,0.484410566686477
239000,114,4,1,2,0,0,0,14.614,26.65198238,47.2392638,14.32,0.724602441625896,0.212610048783074,0.15449101416142,2.2388210904171,0.56270266002856,0.564854667492176
549000,137,3,1,2,1,1,1,21.257,24.48340639,61.97183099,16.34,1.0368079848465,0.729734830286083,0.111567923468855,2.36969906737301,0.0718295770617779,0.0540149291588107
180000,70,3,0,1,0,0,0,12.928,24.32646593,40.82013048,13.15,0.364722377235226,0.0527605571788744,0.386393027666608,1.22950242406207,0.0365926050798801,0.198067177326341
